AT,V,AP,RH,PE
10.05,37.14,1012.64,75.97,474.16
25.21,70.04,1009.51,76.13,432.93
10.14,45.01,1018.12,94.32,473.56
21.97,69.23,1012.25,86.45,443.85
8.25,43.14,1011.3,87.1,479.95
25.34,70.47,1006.46,83.94,433.34
16.75,42.23,1013.81,84.98,464.87
30.12,69.71,1009.1,52.02,435.85
24.97,58.95,1017.19,56.24,440.03
13.56,49.83,1007.01,89.86,466.33
23.34,63.73,1012.1,79.11,443.68
20.58,49.15,1021.42,56.15,453.87
19.39,43.14,1012.75,44.21,464.55
18.38,55.28,1020.22,68.33,451.29
14.91,43.34,1015.15,81.56,461.27
18.13,49.39,1021.29,82.52,458.53
14.79,38.73,999.83,86.45,470.28
8.77,40.46,1019.68,77.84,475
13.44,42.34,1018,96.65,459.6
26.85,63.56,1013.25,52.84,444.39
20.6,45.38,1014.93,75.78,460.24
20.6,44.58,1017.67,48.36,466.2
35.56,68.94,1006.56,38.75,429.69
22.06,64.15,1021.07,68.66,451.44
32,58.9,1003.48,51.38,437.81
21.92,58.79,1010.09,89.7,446.71
20.16,57.76,1019.34,72.1,455.13
13.56,40.03,1017.73,83.76,472.59
11.63,40.55,1022.89,87.12,474.67
28.93,74.78,1009.48,56.4,437.34
18.28,41.1,1002,65.69,460.03
16.62,39.99,1007.07,77.14,463.74
12.04,40.1,1014.42,89.65,474.28
19.6,59.21,1017.65,86.29,449.23
20.97,61.87,1011.45,65.41,446.76
16.26,44.89,1010.48,86.57,456.86
21.17,64.15,1021.25,62.38,454.15
18.4,43.69,1016.59,52.44,462.05
14.81,42.77,1017.83,75.09,463.06
9.13,40.02,1031.08,74.76,473.47
26.08,57.32,1012.2,47.06,441.32
24.2,60.95,1014.82,59.42,448.43
30.2,71.8,1011.13,60.66,436.94
18.89,67.71,1003.92,86.12,443.54
4.24,39.9,1009.28,96.74,491.25
31.82,71.29,1008.44,41.7,431.23
8.51,34.69,1026.96,75.34,481.83
29.51,75.6,1017.92,50.61,431.18
24.91,52.3,1008.72,68.26,441.15
13.4,40.89,1010.67,91.66,472.36
20.61,63.86,1015.43,73.86,446.34
23,49.5,1014.15,66.68,454.44
23.98,50.32,1008.41,67.75,443.45
18.16,43.72,1008.64,75.22,454.98
7.68,39.96,1023.73,87.48,477.84
10.05,41.17,1018.98,83.71,481.38
10.4,42.44,1014.24,93.48,480.04
10.08,37.92,1010.47,66.37,474.63
13.72,45.09,1012.95,87.41,466.24
8.12,43.02,1013.56,85.26,483.55
15.65,54.3,1018,69.66,461.69
11.01,43.69,1016.7,81.48,477.3
22.37,41.54,1013.74,72.21,459.06
10.31,37.5,1008.55,99.31,474.16
25.91,67.07,1005.66,60.12,441.74
28.18,77.54,1011.99,74.72,430.55
20.8,69.45,1013.7,82.48,443.77
29.55,67.69,1004.88,48.68,428.77
27.4,69.84,1002.98,76.48,430.54
17.25,39.39,1014.27,67.8,465.74
26.28,68.14,1005.61,53.17,435.71
27.63,64.96,1006.3,75.38,434.22
24.4,41.1,1002.14,38.75,451.66
21.23,50.59,1017.42,69.26,453.95
29.23,74.22,1008.49,57.88,428.9
8.42,42.28,1008.4,87.78,481.91
9.14,37.36,1015.22,78.06,491.97
30.55,71.06,1009.33,73.38,432.6
31.27,73.91,1003.72,68.92,430.59
22.75,59.39,1015.4,81.41,440.26
13.3,50.59,1019.38,92.96,469.13
33.08,69.75,1009.03,43.69,434.98
20.27,57.76,1016.66,75.76,450.71
21.43,59.14,1015.91,64.4,448.51
7,38.08,1020.27,77.67,482.38
19.75,54.2,1011.43,83.5,448.89
11.01,40.22,1011.13,83.09,476.69
11.22,43.13,1017.24,80.9,473.93
23.66,62.08,1022.42,64.13,447.06
18.53,61.27,1019.84,75.22,454.72
12.72,40.64,1021.11,93.24,475.73
10.52,42.18,1014.9,95.67,469.03
22.8,73.17,1011.87,91.57,437.98
23.5,59.21,1018.29,63,443.31
23.81,57.5,1015.53,70.66,448.72
29.7,57.35,1005.63,57.35,433.27
27.71,66.93,1016.85,58.77,447.06
24.78,57.19,1008.08,65.4,443.62
29.86,59.57,1011.24,64.02,439.44
21.65,58.18,1008.33,95.28,441.05
8.71,41.82,1033.08,74.53,477.94
15.27,56.89,1013.28,86.92,456.72
18.14,49.78,1002.95,100.09,451.44
28.85,58.33,1013.78,41.39,444
9.46,36.66,1026.22,72.58,479.06
6.8,41.16,1023.17,95.4,477.8
21.05,58.33,1013.14,66.34,447.66
26.08,52.3,1007.03,63.34,442.44
8.74,40.03,1016.81,93.37,481.07
26.12,70.47,1009.93,72.13,434.67
22.39,59.04,1011.78,86.39,445.52
13.42,41.74,1020.96,61.8,473.45
14.8,38.73,1003.18,80.73,467.54
19.13,68.61,1010.65,94.92,448.69
26.27,62.91,1011.97,48.06,447.76
13.65,44.6,1017.99,87.04,466.06
25.65,69.23,1012.55,62.02,435.25
26.41,68.24,1010.6,77.79,428.52
13.04,41.04,1026.27,69.75,464.91
